ticker,earnings_date,E_trade_date,mom_pre_sum,mom_pre_slope,mom_hold_sum,mom_hold_slope,keep_direction,accelerate,pre_avg,hold_avg,valid,reason,events_source
AAPL,2015-04-28,2015-04-28,0.07349949347532325,0.002015622828239841,0.03881374111459124,0.010129590896899554,1,1,0.0036749746737661628,0.007762748222918248,1,ok,yfinance_earnings
AAPL,2015-07-22,2015-07-22,0.024308038252460307,0.0010206332493366518,0.04010511981822651,0.008836134777485771,1,1,0.0012154019126230154,0.008021023963645301,1,ok,yfinance_earnings
AAPL,2015-10-28,2015-10-28,0.04911311168242394,0.0028762974653328685,0.006832444433726437,0.001193362272899945,1,0,0.002455655584121197,0.0013664888867452873,1,ok,yfinance_earnings
AAPL,2016-01-27,2016-01-27,-0.07733856644415527,-0.00475708581974176,0.03387046777911129,0.009713932417392667,0,0,-0.0038669283222077635,0.006774093555822258,1,ok,yfinance_earnings
AAPL,2016-04-27,2016-04-27,-0.031413112310676006,-0.0024706925837240713,-0.02423661457553372,-0.006101834345656832,1,1,-0.0015706556155338004,-0.004847322915106744,1,ok,yfinance_earnings
AAPL,2016-07-27,2016-07-27,0.04907944724919133,0.0026141183304315787,-0.032566457442491537,-0.008817825101376141,0,0,0.0024539723624595667,-0.006513291488498307,1,ok,yfinance_earnings
AAPL,2016-10-26,2016-10-26,0.04461711951509262,0.002735804538222748,0.00661830534405583,0.0024231446839007463,1,0,0.002230855975754631,0.001323661068811166,1,ok,yfinance_earnings
AAPL,2017-02-01,2017-02-01,0.04664185993715675,0.00236185936151669,0.011437135467099235,-0.001126145890122343,0,0,0.0023320929968578376,0.0022874270934198472,1,ok,yfinance_earnings
AAPL,2017-05-03,2017-05-03,0.02616855656235284,0.000796618772567652,0.02040894534088622,0.007183236780623936,1,1,0.001308427828117642,0.004081789068177244,1,ok,yfinance_earnings
AAPL,2017-08-02,2017-08-02,0.04463355318802664,0.0028330024776254065,-0.017768746847463657,-0.005717123502472532,0,0,0.002231677659401332,-0.0035537493694927313,1,ok,yfinance_earnings
AAPL,2017-11-03,2017-11-03,0.07868065364643995,0.0036741614333903904,0.065764623309847,0.006214262925750802,1,1,0.003934032682321997,0.013152924661969401,1,ok,yfinance_earnings
AAPL,2018-02-02,2018-02-02,-0.02617754533361394,-0.0022508059958692775,-0.019653095154397615,-0.004713703879767461,1,1,-0.001308877266680697,-0.003930619030879523,1,ok,yfinance_earnings
AAPL,2018-05-02,2018-05-02,0.0042076322234252395,-0.002905973418819445,0.03710807190869936,0.007183381141401402,0,0,0.00021038161117126197,0.0074216143817398715,1,ok,yfinance_earnings
AAPL,2018-08-01,2018-08-01,0.016478180024511957,0.0015565339000279817,-0.014141236349864084,-0.0069443549738308795,0,0,0.0008239090012255978,-0.0028282472699728166,1,ok,yfinance_earnings
AAPL,2018-11-05,2018-11-05,-0.07790484696499034,-0.0017640059840257237,-0.04163133238468353,-0.0004397392422803584,1,1,-0.003895242348249517,-0.008326266476936706,1,ok,yfinance_earnings
AAPL,2019-01-30,2019-01-30,-0.009971102969667633,0.0017138052218586327,0.008961486114337003,0.003315277271036088,1,1,-0.0004985551484833816,0.0017922972228674005,1,ok,yfinance_earnings
AAPL,2019-05-01,2019-05-01,0.04813272997987239,0.0027547541386253693,-0.03337293572592248,-0.006692915588990855,0,0,0.0024066364989936196,-0.006674587145184496,1,ok,yfinance_earnings
